time,close,logp,logret,vol_1m,trend_logp,price_cycle,price_cycle_z,vol_12m,vol_z,wave_7y,wave_7y_phase,wave_7y_amp,vol_wave_10y,vol_wave_10y_phase,vol_wave_10y_amp,risk_multiplier
1973-06-30,100.98,4.6149224774307696,,,,,,,,,,,,,,1.0
1973-07-31,108.64,4.688039663810386,0.0731171863796165,0.0731171863796165,,,,,,,,,,,,1.0
1973-08-31,104.87,4.652721487846314,-0.03531817596407194,0.03531817596407194,,,,,,,,,,,,1.0
1973-09-30,111.2,4.711330381816482,0.058608893970167664,0.058608893970167664,,,,,,,,,,,,1.0
1973-10-31,110.17,4.702024627351974,-0.009305754464508098,0.009305754464508098,,,,,,,,,,,,1.0
1973-11-30,93.51,4.5380683824473556,-0.16395624490461813,0.16395624490461813,,,,,,,,,,,,1.0
1973-12-31,92.19,4.523851664810503,-0.014216717636852394,0.014216717636852394,,,,,,,,,,,,1.0
1974-01-31,94.93,4.5531397778937075,0.029288113083204337,0.029288113083204337,,,,,,,,,,,,1.0
1974-02-28,94.35,4.547011271814559,-0.006128506079148721,0.006128506079148721,,,,,,,,,,,,1.0
1974-03-31,92.27,4.524719061590464,-0.022292210224094333,0.022292210224094333,,,,,,,,,,,,1.0
1974-04-30,86.86,4.464297627106676,-0.06042143448378834,0.06042143448378834,,,,,,,,,,,,1.0
1974-05-31,80.2,4.384523514872469,-0.07977411223420727,0.07977411223420727,,,,,,,,,,,,1.0
1974-06-30,75.96,4.330206885944085,-0.05431662892838407,0.05431662892838407,,,,0.05056199819605515,,,,,,,,1.0
1974-07-31,69.99,4.248352374701448,-0.08185451124263654,0.08185451124263654,,,,0.05129010860130682,,,,,,,,1.0
1974-08-31,62.37,4.1330843905380314,-0.11526798416341677,0.11526798416341677,,,,0.05795259261791889,,,,,,,,1.0
1974-09-30,55.67,4.019441402195416,-0.11364298834261533,0.11364298834261533,,,,0.06253876714895619,,,,,,,,1.0
1974-10-31,65.23,4.177919485808005,0.15847808361258853,0.15847808361258853,,,,0.07496979457796289,,,,,,,,1.0
1974-11-30,62.95,4.142340760490356,-0.03557872531764872,0.03557872531764872,,,,0.06427166794571544,,,,,,,,1.0
1974-12-31,59.82,4.091340053201802,-0.051000707288554104,0.051000707288554104,,,,0.06733700041669059,,,,,,,,1.0
1975-01-31,69.78,4.245347435758628,0.15400738255682622,0.15400738255682622,,,,0.07773027287282575,,,,,,,,1.0
1975-02-28,73.0,4.290459441148391,0.0451120053897629,0.0451120053897629,,,,0.08097889781537693,,,,,,,,1.0
1975-03-31,75.66,4.326249619204883,0.03579017805649176,0.03579017805649176,,,,0.08210372846807672,,,,,,,,1.0
1975-04-30,78.54,4.363608049149864,0.037358429944981175,0.037358429944981175,,,,0.08018181142317611,,,,,,,,1.0
1975-05-31,83.1,4.420044701861403,0.05643665271153875,0.05643665271153875,,,,0.0782370231296204,,,,,,,,1.0
1975-06-30,87.02,4.466137977292534,0.046093275431131175,0.046093275431131175,,,,0.077551743671516,,,,,,,,1.0
1975-07-31,83.19,4.421127148295796,-0.04501082899673747,0.04501082899673747,,,,0.07448143681769108,,,,,,,,1.0
1975-08-31,79.01,4.369574426734642,-0.05155272156115398,0.05155272156115398,,,,0.06917183160083584,,,,,,,,1.0
1975-09-30,74.33,4.308514638737202,-0.06105978799743994,0.06105978799743994,,,,0.06478989823873789,,,,,,,,1.0
1975-10-31,76.99,4.343675543289958,0.03516090455275567,0.03516090455275567,,,,0.054513466650418486,,,,,,,,1.0
1975-11-30,78.8,4.366912996863833,0.0232374535738753,0.0232374535738753,,,,0.05348502733843737,,,,,,,,1.0
1975-12-31,77.62,4.35182512594076,-0.01508787092307351,0.01508787092307351,,,,0.05049229097464732,,,,,,,,1.0
1976-01-31,87.05,4.466482666214198,0.11465754027343777,0.11465754027343777,,,,0.04721313745103162,,,,,,,,1.0
1976-02-29,90.26,4.502694394398855,0.03621172818465723,0.03621172818465723,,,,0.04647144768393948,,,,,,,,1.0
1976-03-31,90.62,4.506674939238992,0.003980544840136879,0.003980544840136879,,,,0.0438206449159099,,,,,,,,1.0
1976-04-30,90.08,4.50069816439138,-0.005976774847611388,0.005976774847611388,,,,0.04120550699112909,,,,,,,,1.0
1976-05-31,88.04,4.477791256658261,-0.022906907733119652,0.022906907733119652,,,,0.03841136157626083,,,,,,,,1.0
1976-06-30,90.32,4.503358919841406,0.025567663183145406,0.025567663183145406,,,,0.036700893888928686,,,,,,,,1.0
1976-07-31,91.29,4.514041252576989,0.010682332735583167,0.010682332735583167,,,,0.03384018586716583,,,,,,,,1.0
1976-08-31,89.7,4.49647076906475,-0.01757048351223922,0.01757048351223922,,,,0.03100833269642293,,,,,,,,1.0
1976-09-30,91.26,4.513712575499256,0.017241806434506124,0.017241806434506124,,,,0.02735683423284511,,,,,,,,1.0
1976-10-31,90.35,4.503691017038237,-0.01002155846101882,0.01002155846101882,,,,0.02526188872520037,,,,,,,,1.0
1976-11-30,91.12,4.512177319138927,0.008486302100689791,0.008486302100689791,,,,0.024032626102434913,,,,,,,,1.0
1976-12-31,97.88,4.583742238574471,0.0715649194355441,0.0715649194355441,,,,0.028739046811807462,,,,,,,,1.0
1977-01-31,95.54,4.559545007961816,-0.02419723061265522,0.02419723061265522,,,,0.021200687673408918,,,,,,,,1.0
1977-02-28,94.57,4.549340301027421,-0.010204706934395347,0.010204706934395347,,,,0.01903343590255376,,,,,,,,1.0
1977-03-31,94.13,4.544676805559129,-0.004663495468292034,0.004663495468292034,,,,0.019090348454900024,,,,,,,,1.0
1977-04-30,95.48,4.558916801470629,0.014239995911500714,0.014239995911500714,,,,0.019778950210224133,,,,,,,,1.0
1977-05-31,95.59,4.560068212075671,0.0011514106050416473,0.0011514106050416473,,,,0.017965992116217633,,,,,,,,1.0
1977-06-30,99.73,4.602466534413777,0.04239832233810592,0.04239832233810592,,,,0.019368547045797675,,,,,,,,1.0
1977-07-31,100.65,4.611649152085801,0.009182617672023774,0.009182617672023774,,,,0.01924357079050106,,,,,,,,1.0
1977-08-31,100.1,4.6061696863211745,-0.005479465764626212,0.005479465764626212,,,,0.018235985978199976,,,,,,,,1.0
1977-09-30,100.85,4.613634264400221,0.007464578079046547,0.007464578079046547,,,,0.017421216948578344,-1.3323631840095345,,,,,,,1.05
1977-10-31,97.52,4.5800574851730165,-0.03357677922720459,0.03357677922720459,,,,0.019384152012427158,-1.2052865773159476,,,,,,,1.05
1977-11-30,103.15,4.636184239517261,0.056126754344244745,0.056126754344244745,,,,0.02335418969939007,-1.000994399741357,,,,,,,1.05
1977-12-31,105.05,4.654436427291009,0.01825218777374804,0.01825218777374804,,,,0.018911462060907065,-1.1683358011776883,,,,,,,1.05
1978-01-31,100.84,4.6135351023197195,-0.04090132497128973,0.04090132497128973,,,,0.02030346992412661,-1.0781868600440678,,,,,,,1.05
1978-02-28,101.47,4.6197631882909915,0.006228085971272002,0.006228085971272002,,,,0.01997208484386633,-1.0667824746145569,,,,,,,1.05
1978-03-31,106.2,4.665324108807838,0.04556092051684679,0.04556092051684679,,,,0.02338020359791256,-0.8959627041093059,,,,,,,1.05
1978-04-30,115.18,4.7464961220785264,0.08117201327068813,0.08117201327068813,,,,0.02895787171117818,-0.6357937882927093,,,,,,,1.05
1978-05-31,120.24,4.789489745444719,0.0429936233661925,0.0429936233661925,4.481901684880386,0.3075880605643331,,0.032444722774607415,-0.4720976250381465,,,,,,,1.0
1978-06-30,120.3,4.789988622980633,0.0004988775359144881,0.0004988775359144881,4.486952290423012,0.3030363325576211,,0.028953102374424795,-0.6221716182558731,,,,,,,1.05
1978-07-31,126.32,4.838818369947386,0.04882974696675291,0.04882974696675291,4.49262754977018,0.34619082017720615,,0.032257029815652226,-0.4649456147133244,,,,,,,1.0
1978-08-31,135.01,4.905348849769155,0.0665304798217683,0.0665304798217683,4.499178681516195,0.4061701682529595,,0.03734461432041406,-0.22747882046835208,,,,,,,1.0
1978-09-30,132.89,4.889521718343416,-0.01582713142573855,0.01582713142573855,4.505277791466621,0.3842439268767954,,0.03804149376597173,-0.19301982309794335,,,,,,,1.0
1978-10-31,111.12,4.7106106984460885,-0.1789110198973276,0.1789110198973276,4.508436759266305,0.20217393917978388,,0.05015268048848198,0.37311046139744236,,,,,,,1.0
1978-11-30,114.69,4.742232836376431,0.0316221379303423,0.0316221379303423,4.511979124071004,0.23025371230542646,,0.04811062912065678,0.2734165497795787,,,,,,,1.0
1978-12-31,117.98,4.770515118574929,0.028282282198498265,0.028282282198498265,4.515837870257629,0.2546772483173001,,0.048946470322719295,0.3102969020323469,,,,,,,1.0
1979-01-31,125.82,4.834852314141884,0.06433719556695472,0.06433719556695472,4.52052925913828,0.31432305500360336,,0.050899459539024715,0.40036984341187337,,,,,,,1.0
1979-02-28,122.56,4.808600705992281,-0.026251608149602923,0.026251608149602923,4.524704207643411,0.2838964983488701,,0.05256808638721896,0.47632760723854917,,,,,,,1.0
1979-03-31,131.76,4.880982085869385,0.07238137987710402,0.07238137987710402,4.529793891618068,0.35118819425131687,,0.05480312466724039,0.5790101634716343,,,,,,,0.85
1979-04-30,133.82,4.896495613354671,0.015513527485286005,0.015513527485286005,4.534958704600273,0.36153690875439803,,0.049331584185123546,0.30660517353369016,,,,,,,1.0
1979-05-31,131.42,4.878398301469722,-0.018097311884949008,0.018097311884949008,4.5397286990012375,0.3386696024684843,,0.04725689156168659,0.2018407194020732,,,,,,,1.0
1979-06-30,138.13,4.928195270711869,0.049796969242146716,0.049796969242146716,4.545050158887685,0.38314511182418354,,0.051365065870539274,0.4035245376044689,,,,,,,1.0
1979-07-31,141.33,4.9510975813800595,0.02290231066819093,0.02290231066819093,4.550537286218663,0.40056029516139624,,0.049204446178992445,0.2920608200017609,,,,,,,1.0
1979-08-31,150.44,5.013564333602136,0.062466752222076316,0.062466752222076316,4.556710980183776,0.4568533534183601,,0.04886580221235145,0.2725157249505287,,,,,,,1.0
1979-09-30,149.98,5.010501951873243,-0.003062381728892838,0.003062381728892838,4.562681914021796,0.4478200378514474,,0.04780207307094764,0.21632249616015556,,,,,,,1.0
1979-10-31,135.53,4.909193018027924,-0.1013089338453188,0.1013089338453188,4.567182058229667,0.342010959798257,,0.04133523256661357,-0.11598583756770281,,,,,,,1.0
1979-11-30,144.26,4.971617227075527,0.062424209047602375,0.062424209047602375,4.572367124496921,0.3992501025786055,,0.043902071826385246,0.017161959810945208,,,,,,,1.0
1979-12-31,151.14,5.018206559592573,0.04658933251704678,0.04658933251704678,4.578010661650031,0.44019589794254266,,0.04542765935293095,0.09624944814312969,,,,,,,1.0
1980-01-31,161.75,5.08605193338101,0.0678453737884368,0.0678453737884368,4.584361177546668,0.5016907558343418,,0.04572000753805446,0.11082561704665124,,,,,,,1.0
1980-02-29,158.03,5.062784888421012,-0.023267044959998096,0.023267044959998096,4.590267643113018,0.4725172453079942,,0.04547129393892072,0.09690238414297356,,,,,,,1.0
1980-03-31,131.0,4.875197323201151,-0.18758756521986086,0.18758756521986086,4.593742395309215,0.2814549278919358,,0.05507180938415046,0.6044026403126959,,,,,,,0.85
1980-04-30,139.99,4.941570991486734,0.06637366828558289,0.06637366828558289,4.597933101287258,0.3436378901994761,,0.05931015445084187,0.8222409363036831,,,,,,,0.85
1980-05-31,150.45,5.013630803076055,0.07205981158932051,0.07205981158932051,4.60288188345141,0.41074891962464477,,0.06380702942620615,1.0487554280784033,,,,,,,0.75
1980-06-30,157.78,5.061201657666944,0.047570854590889056,0.047570854590889056,4.608273880795122,0.45292777687182184,,0.06362151987193469,1.0240936034026171,,,,,,,0.75
1980-07-31,171.81,5.146389215073875,0.08518755740693162,0.08518755740693162,4.614531035844875,0.5318581792290002,,0.06881195710016308,1.2798026207194182,,,,,,,0.75
1980-08-31,181.52,5.201365840471587,0.05497662539771131,0.05497662539771131,4.621276263484263,0.5800895769873238,,0.06818777986479933,1.2254225664270568,,,,,,,0.75
1980-09-30,187.76,5.235164551542768,0.033798711071181486,0.033798711071181486,4.628252266757655,0.6069122847851132,,0.07074914064332338,1.3368576825532288,,,,,,,0.75
1980-10-31,192.78,5.261549642355822,0.02638509081305429,0.02638509081305429,4.635367967607072,0.6261816747487501,,0.06450548705730134,0.9925282197954378,,,,,,,0.85
1980-11-30,208.15,5.3382589736409845,0.07670933128516211,0.07670933128516211,4.643177867674115,0.6950811059668691,,0.06569591391043132,1.0414887574657847,,,,,,,0.75
1980-12-31,202.34,5.3099494507777445,-0.028309522863239955,0.028309522863239955,4.650505027928001,0.6594444228497434,,0.06417259643928075,0.9490858479406303,,,,,,,0.85
1981-01-31,197.81,5.2873069740279846,-0.022642476749759943,0.022642476749759943,4.657426788211697,0.6298801858162877,,0.06040568835272434,0.7419347005283307,,,,,,,0.85
1981-02-28,198.01,5.288317534469703,0.0010105604417187664,0.0010105604417187664,4.664210559676837,0.6241069747928663,,0.0585509813095344,0.6376473551939663,,,,,,,0.85
1981-03-31,210.18,5.347964306437451,0.05964677196774737,0.05964677196774737,4.671484535706205,0.6764797707312455,,0.04788924853852494,0.06789959988194073,,,,,,,1.0
1981-04-30,216.74,5.378698478494849,0.030734172057398368,0.030734172057398368,4.678928892998717,0.6997695854961323,,0.04491929051950957,-0.09110671434803927,,,,,,,1.0
1981-05-31,223.47,5.409277176856294,0.030578698361445333,0.030578698361445333,4.686536687622234,0.7227404892340603,,0.0414625310838533,-0.2761587375734858,,,,,,,1.0
1981-06-30,215.75,5.374120329963537,-0.03515684689275744,0.03515684689275744,4.693625178780391,0.6804951511831456,,0.04042803044234233,-0.3302081268260228,,,,,,,1.0
1981-07-31,211.63,5.354839466872362,-0.019280863091174716,0.019280863091174716,4.700372263352758,0.6544672035196042,,0.03493580591602926,-0.6251685551908502,,,,,,,1.05
1981-08-31,195.75,5.276838334870913,-0.07800113200144931,0.07800113200144931,4.706195152964053,0.5706431819068598,0.7466230454327701,0.03685451479967409,-0.5161658538527041,,,,,,,1.05
1981-09-30,180.03,5.193123503669531,-0.08371483120138201,0.08371483120138201,4.711064436471108,0.4820590671984233,0.15031433834934715,0.0410141914771908,-0.2853511640093561,,,,,,,1.0
1981-10-31,195.24,5.274229571018947,0.08110606734941594,0.08110606734941594,4.716640328892373,0.557589242126574,0.6519229136822037,0.04557427285522094,-0.032752072350373584,,,,,,,1.0
1981-11-30,201.37,5.305144011890314,0.030914440871367077,0.030914440871367077,4.722409972843334,0.5827340390469802,0.8078764714380591,0.04175803198740469,-0.24373992644180498,,,,,,,1.0
1981-12-31,195.84,5.277297999323961,-0.027846012566352663,0.027846012566352663,4.727797235236349,0.549500764087612,0.5709284224684755,0.04171940612933075,-0.24446535445225617,,,,,,,1.0
1982-01-31,188.39,5.238514282177283,-0.0387837171466785,0.0387837171466785,4.73270797607232,0.5058063061049625,0.26543633707446457,0.04306450949574062,-0.16785657948997107,,,,,,,1.0
1982-02-28,179.43,5.189785159724575,-0.04872912245270733,0.04872912245270733,4.737061092107103,0.4527240676174724,-0.10447056347418912,0.04704105632998967,0.056709049430191755,,,,,,,1.0
1982-03-31,175.65,5.168493378711836,-0.02129178101273954,0.02129178101273954,4.741131208018468,0.42736217069336746,-0.28042723537559133,0.04384480708373902,-0.12433846774404263,,,,,,,1.0
1982-04-30,184.7,5.218732887205194,0.05023950849335801,0.05023950849335801,4.745594775113672,0.47313811209152234,0.04580062795745431,0.04547025178673566,-0.03126901027648758,,,,,,,1.0
1982-05-31,178.54,5.184812665751216,-0.033920221453977994,0.033920221453977994,4.74966160743439,0.4351510583168263,-0.2257245060818237,0.045748712044446714,-0.015189319555237795,,,,,,,1.0
1982-06-30,171.3,5.143416405330075,-0.04139626042114131,0.04139626042114131,4.753274036772883,0.39014236855719187,-0.546309418224905,0.04626866317181203,0.014766412601893267,,,,,,,1.0
1982-07-31,167.35,5.120087427657335,-0.023328977672739448,0.023328977672739448,4.7566087039627405,0.36347872369459466,-0.7306453255662152,0.046606006053609095,0.03417666564441399,,,,,,,1.0
1982-08-31,177.71,5.1801530081973945,0.06006558054005939,0.06006558054005939,4.7604244184153055,0.41972858978208905,-0.312823128654869,0.04511137676515994,-0.052778020248935874,,,,,,,1.0
1982-09-30,187.65,5.23457852558103,0.05442551738363566,0.05442551738363566,4.764657937229285,0.4699205883517452,0.059683829756349505,0.042670600613681074,-0.19492085497606373,,,,,,,1.0
1982-10-31,212.63,5.35955356601861,0.12497504043757957,0.12497504043757957,4.769922500315917,0.5896310657026929,0.941108413097093,0.04632634837102804,0.020441946088908584,,,,,,,1.0
1982-11-30,232.31,5.448072686632873,0.08851912061426326,0.08851912061426326,4.775871186160802,0.6722015004720712,1.5138402444368257,0.05112673834960272,0.30314522019268925,,,,,,,1.0
1982-12-31,232.41,5.448503053311921,0.0004303666790477223,0.0004303666790477223,4.781720158918637,0.6667828943932834,1.4329116522139278,0.04884210119232731,0.16637783273425463,,,,,,,1.0
1983-01-31,248.35,5.514839041553359,0.06633598824143849,0.06633598824143849,4.788040149286179,0.7267988922671806,1.8024591703843036,0.05113812378355731,0.30203857684138496,,,,,,,1.0
1983-02-28,260.67,5.563255239519225,0.04841619796586549,0.04841619796586549,4.79466591928817,0.7685893202310545,2.009548846045461,0.05111204674298716,0.2989100901774715,,,,,,,1.0
1983-03-31,270.8,5.60138054103812,0.03812530151889515,0.03812530151889515,4.801502483879271,0.7998780571588489,2.1218668286383378,0.052514840118500127,0.3814286864643645,,,,,,,1.0
